,# cysts,# detected,# missed,# wrong,# recall,iou,precision,recall
TUBULI ADPKD 11.12.2020_CTRL 11 B 40X24,2.0,2.0,0.0,2.0,0.9999500024998749,0.7798886341303636,0.805889321374175,0.9602742488404921
IF TUBI 18.12.2020_T4 2 A 40X20,4.0,4.0,0.0,1.0,0.9999750006249845,0.7613403236836107,0.825302693353101,0.907608695652174
TUBULI ADPKD 11.12.2020_DBD+T4 13 B 40X8,1.0,1.0,0.0,3.0,0.9999000099990001,0.34804397025541545,0.3558677685950413,0.9405854084753167
TUBULI ADPKD 11.12.2020_T4 12 A 40X35,2.0,2.0,0.0,1.0,0.9999500024998749,0.36977491961414793,0.3907766990291262,0.8731019522776573
IF TUBI 18.12.2020_CTRL 6 B 40X36,10.0,10.0,0.0,1.0,0.999990000099999,0.8443064667291471,0.8848373235113567,0.948539089234009
IF TUBI 18.12.2020_T4 2 B 40X22,1.0,1.0,0.0,0.0,0.9999000099990001,0.7916496111338518,0.9447972642892037,0.8300429184549356
IF TUBI 18.12.2020_CTRL 6 A 40X6,3.0,2.0,1.0,0.0,0.6666444451851604,0.6474782149458674,0.8267026298044504,0.7491597922395355
TUBULI ADPKD 11.12.2020_T4 12 A 40X4,6.0,5.0,1.0,0.0,0.8333194446759221,0.6978536048431481,0.8652337086318662,0.7829577029947514
"ADPKD tubi CTRL, T4, LM609+T4, UO, UO+T4 p-ERK 2-3.09.2020_UO 12 lato  B 40x6",2.0,2.0,0.0,1.0,0.9999500024998749,0.4895131086142322,0.5347790507364976,0.852576647097195
"ADPKD tubi CTRL, T4, LM609+T4, UO, UO+T4 p-ERK 2-3.09.2020_CTRL 17 lato  A 40x17",3.0,2.0,1.0,1.0,0.6666444451851604,0.5309954751131222,0.7241592101203332,0.6656267725467953
IF 4-12.09.19 40x1 CTRL tubo 11 (20),4.0,3.0,1.0,0.0,0.7499812504687383,0.7416983523447401,0.9315504616364215,0.7844504021447721
TUBULI ADPKD 11.12.2020_DBD 3 A 40X6,5.0,5.0,0.0,0.0,0.999980000399992,0.8583157661156108,0.9108677734604969,0.937015503875969
IF TUBI 18.12.2020_DBD 18 B 40X1,6.0,5.0,1.0,1.0,0.8333194446759221,0.8168489065606361,0.9003012873185429,0.8980874316939891
IF TUBI 18.12.2020_DBD+T4 14 B 40X18,4.0,3.0,1.0,0.0,0.7499812504687383,0.7364798426745329,0.9433249370277078,0.7705761316872428
"ADPKD tubi CTRL, T4, LM609+T4, UO, UO+T4 p-ERK 2-3.09.2020_CTRL 17 lato  A 40x6",4.0,4.0,0.0,0.0,0.9999750006249845,0.8387866394001363,0.9047794117647059,0.92
TUBULI ADPKD 11.12.2020_CTRL 11 A 40X45,7.0,7.0,0.0,0.0,0.999985714489793,0.8681680612426562,0.910559238166371,0.9491047100038925
IF 4-12.09.19 40x1 TRIAC tubo 19 (5),5.0,2.0,3.0,0.0,0.3999920001599968,0.338594450905466,0.9130824372759857,0.34987124463519315
TUBULI ADPKD 11.12.2020_DBD+T4 13 B 40X14,3.0,3.0,0.0,1.0,0.9999666677777407,0.83298047518231,0.8859144358268701,0.9330698287220026
IF TUBI 18.12.2020_DBD+T4 14 A 40X13,5.0,3.0,2.0,1.0,0.5999880002399952,0.5865198918501352,0.9166918201026261,0.6195430436556507
IF TUBI 18.12.2020_DBD+T4 14 A 40X9,3.0,3.0,0.0,0.0,0.9999666677777407,0.7753012048192771,0.8591455273698264,0.8881987577639752
TUBULI ADPKD 11.12.2020_CTRL 11 B 40X21,4.0,4.0,0.0,0.0,0.9999750006249845,0.8706183240559651,0.9234083293441838,0.9383817090968056
TUBULI ADPKD 11.12.2020_DBD 3 A 40X10,5.0,5.0,0.0,0.0,0.999980000399992,0.8276106194690266,0.8962146621945376,0.9153371831261623
"ADPKD tubi CTRL, T4, LM609+T4, UO, UO+T4 p-ERK 2-3.09.2020_CTRL 17 lato  A 40x1",1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
TUBI 29-30.07.2020_T4 2 40x25 side B,1.0,1.0,0.0,0.0,0.9999000099990001,0.3413897280966767,1.0,0.3413897280966767
IF ADPKD tubules 9-17.10.19 _T4 15 40X8,1.0,1.0,0.0,0.0,0.9999000099990001,0.8758526603001364,0.9290882778581766,0.9385964912280702
TUBULI ADPKD 11.12.2020_DBD+T4 13 A 40X7,8.0,7.0,1.0,3.0,0.874989062636717,0.5225039981722641,0.5817118148289457,0.8369624885635865
TUBULI ADPKD 11.12.2020_DBD 3 A 40X24,6.0,4.0,2.0,1.0,0.6666555557407376,0.424684098586263,0.9484492875104777,0.4347185759108664
TUBULI ADPKD 11.12.2020_CTRL 11 A 40X37,9.0,8.0,1.0,0.0,0.8888790124554172,0.8376129827444536,0.9359577642603008,0.8885378078012639
IF TUBI 18.12.2020_DBD+T4 14 A 40X16,7.0,6.0,1.0,1.0,0.8571306124198226,0.7778727648357912,0.8845593000648088,0.8657627656200444
TUBULI ADPKD 11.12.2020_DBD 3 B 40X27,8.0,6.0,2.0,0.0,0.7499906251171861,0.851457627118644,0.9673419086497728,0.876657824933687
"ADPKD tubi CTRL, T4, LM609+T4, UO, UO+T4 p-ERK 2-3.09.2020_UO 12 lato  B 40x8",3.0,3.0,0.0,0.0,0.9999666677777407,0.7809570794277257,0.8570655116404982,0.8979013045944413
IF TUBI 18.12.2020_DBD+T4 14 A 40X12,4.0,4.0,0.0,1.0,0.9999750006249845,0.8909715266847904,0.9253975330658345,0.9599198396793587
IF 4-12.09.19 40x1 T3 tubo 7 (25),6.0,4.0,2.0,0.0,0.6666555557407376,0.6269871309613929,0.9220706930141943,0.6620703437250199
IF ADPKD tubules 9-17.10.19 _CTRL 2 40X5,2.0,2.0,0.0,0.0,0.9999500024998749,0.7577972709551657,0.9694513715710723,0.7763354967548677
IF ADPKD tubules 9-17.10.19 _T3 31 40X14,2.0,2.0,0.0,1.0,0.9999500024998749,0.7856544794864638,0.8338270142180095,0.9315023163467903
IF TUBI 18.12.2020_T4 2 B 40X16,4.0,3.0,1.0,0.0,0.7499812504687383,0.818516247700797,0.9121967885206697,0.8885191347753744
TUBI 29-30.07.2020_T4 2 40x8 side B,2.0,2.0,0.0,0.0,0.9999500024998749,0.8421298458664176,0.9464566929133859,0.8842569887199607
IF TUBI 18.12.2020_CTRL 6 A 40X22,5.0,4.0,1.0,0.0,0.7999840003199936,0.6612196945423475,0.9540761288334104,0.6829564258135686
TUBI 29-30.07.2020_T4 2 40x6 side B,4.0,4.0,0.0,0.0,0.9999750006249845,0.796135002721829,0.8847549909255898,0.8882477983601579
IF 4-12.09.19 40x1 TRIAC tubo 19 (6),1.0,1.0,0.0,0.0,0.9999000099990001,0.822569680489463,0.8443824145150035,0.969551282051282
TUBI 29-30.07.2020_T4 2 40x32 side A,1.0,1.0,0.0,1.0,0.9999000099990001,0.8257993384785005,0.9481012658227848,0.8648960739030023
TUBULI ADPKD 11.12.2020_CTRL 11 B 40X7,2.0,2.0,0.0,1.0,0.9999500024998749,0.8063758389261745,0.8821585903083701,0.9037232042121098
IF TUBI 18.12.2020_T4 2 A 40X1,2.0,1.0,1.0,0.0,0.49997500124993743,0.16989466530750935,0.8665511265164645,0.17445917655268667
IF 4-12.09.19 RESV  TUBO 17 40X1 (2),1.0,1.0,0.0,0.0,0.9999000099990001,0.6954128440366972,0.9717948717948718,0.7097378277153558
TUBULI ADPKD 11.12.2020_CTRL 11 A 40X29,6.0,3.0,3.0,0.0,0.49999166680555324,0.6449721489299326,0.9201171058134672,0.6832298136645962
IF ADPKD tubules 9-17.10.19 _Tetrac 8 40X10,4.0,4.0,0.0,0.0,0.9999750006249845,0.8493517064945636,0.9538361083904668,0.8857627940819791
IF 4-12.09.19 TETRAC tubo 5 40x1  (7),14.0,13.0,1.0,2.0,0.9285647959657432,0.8764123601640929,0.9073067501558174,0.9626007258411761
TUBULI ADPKD 11.12.2020_T4 12 B 40X10,3.0,2.0,1.0,0.0,0.6666444451851604,0.5331077815369744,0.8576982892690513,0.5848356309650053
IF TUBI 18.12.2020_DBD 18 B 40X16,3.0,3.0,0.0,2.0,0.9999666677777407,0.4502779493514515,0.4807121661721068,0.8767288033674083
"ADPKD tubi CTRL, T4, LM609+T4, UO, UO+T4 p-ERK 2-3.09.2020_UO+T4 14 lato B 40x6",2.0,2.0,0.0,0.0,0.9999500024998749,0.8206820682068207,0.9419191919191919,0.8644264194669756
IF ADPKD tubules 9-17.10.19 _T3 31 40X10,1.0,1.0,0.0,0.0,0.9999000099990001,0.8701492537313433,0.87625250501002,0.9920589903573455
TUBI 29-30.07.2020_T4 2 40x37 side A,5.0,3.0,2.0,0.0,0.5999880002399952,0.49043342444357674,0.8644184445973847,0.5313028764805414
IF TUBI 18.12.2020_DBD 18 B 40X22,9.0,6.0,3.0,0.0,0.6666592593415629,0.519212523719165,0.8364539549102025,0.5778775079197466
TUBULI ADPKD 11.12.2020_DBD 3 A 40X25,6.0,6.0,0.0,0.0,0.9999833336111065,0.8003805295703187,0.9110268904529868,0.8682490540075679
